#indeks deadline kara
1   180 10.551984
2   152  4.426874
3   205 11.080035
4    18  9.602978
5   105  1.991179
6    42  9.146004
7    69  9.712310
8    99  5.774135
9   113  9.414314
10   17  9.206884
11  105 11.008014
12   42  6.149590
13  137  6.520781
14  204  2.703266
15   70  8.832996
16   23  3.649567
17  124 10.314984
18    5  3.181798
19  209  2.733959
20  163 11.381843
21  174 11.085112
22   99  5.608152
23  181  9.296719
24   57 10.595628
25  140  9.260146
26  144 11.099455
27   35  8.717580
28   16  1.729297
29   78 10.022176
30  147  6.137683
31   56  9.244514
32  168  2.673722
33   84  8.227033
34  108  6.557594
35   15 11.353516
36  148  4.538542
37   64  2.939107
38  155  7.578222
39  204 11.712888
40  132  6.935900
41  200  7.094352
42   98 10.423469
43   47  9.487725
44   73  7.702011
45  105  6.714239
46   14  7.361346
47  143  6.507494
48   18  7.404599
49   99 11.966927
50   41 10.227909
51   68 11.144953
52  178  9.628845
53  125  3.377977
54   65  2.621366
55   72 11.600940
56  186  1.577091
57  144 11.749422
58  109  6.949268
59   98  9.950893
60    4  1.571228
61  176 10.337966
62   31  2.724188
63   23  2.652001
64  154  4.865685
65   15  7.578185
66   58  3.016517
67    3  1.381627
68   76  2.360153
69  117  6.183611
70  210  2.773371
71   33  6.349662
72   57  6.238272
73   40  2.751331
74   91  4.115725
75  159  6.381397
76  162 11.586898
77   54  2.513206
78   62  8.571995
79   56  4.554349
80    2 10.096333
81   34  4.297702
82  183  4.701176
83   29  7.829822
84  120  6.898625
85   21  1.911515
86   91  6.626300
87  145  9.295264
88  193  1.517109
89   22  2.675775
90   85  6.142171
91   30  2.682006
92   93  9.356769
93   17  6.365145
94   10  9.993167
95   80  9.100185
96  184 10.082729
97   52  9.697684
98  144  5.629916
99  144  1.474149
100  86  5.239377
101  90  6.072628
102  90  8.307635
103 173  5.568782
104 108 11.501245
105  79  2.520372
106 117  5.306382
107 118  6.569912
108  57  5.058991
109  84 11.017549
110 115  3.188324
111 138  8.957560
112  49  8.021694
113 137  4.355692
114 106  9.583415
115 175  7.269756
116 202  8.150844
117  94  5.286636
118  16  9.967613
119  10 11.173546
120   3  5.616975
121 200  2.648068
122  44  7.894694
123 190  3.204733
124  14  4.824254
125  57  9.197515
126 154  2.937659
127 189 11.349804
128  51  9.378882
129 157  7.584951
130  27  3.053320
131  37  7.995474
132  67  7.617455
133  57  9.206871
134 137  8.869020
135 123  5.073625
136 133  7.400645
137  75  5.635112
138 210  3.619851
139  94  3.038650
140 134  1.124978
141  21  3.359537
142   4 10.380915
143 116  1.220555
144 202  3.657151
145  74  4.417580
146  75  9.565941
147 123 11.175741
148 184  9.747562
149   5  2.468876
150  26  2.321747
151  31  1.717222
152 107  8.136688
153 200  2.866009
154 162  7.549016
155  99  6.370615
156 104  4.650976
157 140  1.460440
158 172  7.079696
159 188  9.598741
160 151 10.394808
161  62  9.704239
162  36  5.937327
163  49  2.828101
164 111  5.314135
165 170  7.568247
166  93  4.995761
167  75  6.973870
168 109  3.342960
169  96 11.464543
170 204 10.242690
171  29  3.206190
172 108  3.210749
173 121  9.446532
174 132  4.460582
175 102  1.586329
176 172  1.335077
177 163  4.719222
178 210 10.748466
179 145  5.317688
180  61  2.651301
181  25  4.783144
182 169  3.278446
183  80  3.123175
184  88 11.665004
185  39  3.339670
186   1 10.152778
187 188  1.974847
188 158  3.279776
189 116 10.956013
190  15  3.609628
191  87  1.586077
192 140  1.775518
193 152  5.469835
194 119  9.903214
195 104  8.198512
196  79  3.565891
197 122  2.592688
198  46 11.768253
199 169  2.555804
200 177  9.915474
201 140  1.896392
202 176  8.172933
203 118  2.551127
204  74  8.917938
205 172  9.901937
206 107  9.101693
207 187  9.356566
208 131  1.542427
209  65  5.088585
210 166  6.273766
211 136  7.768724
212  33  9.606851
213 199  1.384167
214  45  4.455576
215 107 11.054152
216 193 11.124790
217   1  2.289224
218  27 11.613859
219 101  1.307644
220 123  4.724372
