Date,Open,High,Low,Close,Volume
2010-05-12,263.59874,271.90696,262.91891,271.90696,9566251
2010-05-13,270.39636,273.34201,267.37516,269.64106,2394317
2010-05-14,268.35704,271.90696,266.84653,268.13046,1399531
2010-05-17,261.33284,266.61976,260.72857,265.10934,1233107
2010-05-18,264.73156,267.97935,264.58053,266.61976,760540
2010-05-19,264.50507,265.71353,261.25728,261.25728,1224472
2010-05-20,259.82215,260.57745,249.62563,250.00332,1373495
2010-05-21,250.00332,254.15744,246.22682,254.15744,705820
2010-05-24,254.23299,260.19984,254.15744,258.68933,621414
2010-05-25,253.10008,256.72547,247.73742,249.24802,672528
2010-05-26,252.4958,267.37516,252.4958,267.37516,3367665
2010-05-27,262.84344,266.16661,262.08805,264.50507,316135
2010-05-28,264.65609,265.41148,261.33284,264.35396,219354
2010-05-31,261.32908,264.35172,259.06792,264.35172,98919
2010-06-01,260.87968,264.20292,257.17864,263.2966,333117
2010-06-02,262.01258,265.10934,261.40839,263.97635,301254
2010-06-04,263.2966,265.10934,258.31163,258.31163,294576
2010-06-07,253.77983,258.68933,253.77983,256.80103,239621
2010-06-08,256.95214,259.82215,256.04573,256.04573,1612586
2010-06-09,256.57436,262.76788,255.29043,262.08805,292870
2010-06-10,260.04882,265.33593,260.04882,264.35396,431070
2010-06-11,263.90079,264.73156,262.39019,263.59874,524775
2010-06-14,263.59874,266.99755,262.08805,265.63798,218762
2010-06-15,264.35396,266.5443,263.06993,266.24225,354166
2010-06-16,266.39328,266.99755,261.48387,266.16661,437390
2010-06-17,263.97877,267.37435,263.59803,267.07132,395267
2010-06-18,266.31772,271.00064,266.31772,270.01867,1474182
2010-06-21,269.64106,275.53235,269.64106,275.53235,457148
2010-06-22,272.28457,274.39944,270.77397,271.90696,234837
2010-06-23,271.15176,273.41757,270.54738,271.15176,273786
2010-06-24,271.15176,272.66227,268.13046,268.13046,222118
2010-06-25,268.88576,271.4538,268.20602,268.20602,286330
2010-06-28,268.58363,269.41457,264.73156,265.86464,92257
2010-06-29,265.86464,266.46874,263.59874,264.35396,307173
2010-06-30,264.35172,267.37435,263.97877,264.35172,136150
2010-07-01,264.35396,270.16969,262.99447,268.88576,302409
2010-07-02,266.46874,271.90696,266.46874,267.37516,227345
2010-07-05,267.52618,268.28148,265.86464,265.94011,31907
2010-07-06,266.46874,270.84953,266.31772,270.84953,62077
2010-07-07,267.45072,271.15176,266.99755,270.39636,274564
2010-07-08,271.90696,275.53235,268.88576,271.07611,559206
2010-07-09,271.22722,272.9644,269.1879,272.66227,56192
2010-07-12,271.90696,280.97049,270.6985,280.97049,336813
2010-07-13,279.68656,285.50238,279.68656,285.50238,347574
2010-07-14,285.50238,286.86187,279.45997,279.45997,153316
2010-07-15,279.45997,282.48109,278.70459,279.45997,52631
2010-07-16,277.94937,283.61409,277.94937,277.94937,78283
2010-07-19,277.64724,283.31203,277.19407,282.25451,348226
2010-07-20,281.72597,282.25442,278.70333,279.53481,141681
2010-07-21,280.21527,284.59597,280.21527,282.85879,249029
2010-07-22,282.48109,288.5235,281.80135,288.5235,328972
2010-07-23,287.0129,288.90111,284.44485,284.747,184604
2010-07-26,289.27871,294.26377,286.40871,293.20633,255967
2010-07-27,293.81061,295.62326,284.82246,290.10966,469857
2010-07-28,292.3,292.3,286.2576,286.33315,125165
2010-07-29,287.0129,294.56581,287.0129,294.56581,363687
2010-07-30,294.5625,298.0435,292.67429,297.58505,537249
2010-08-02,297.73814,302.26985,297.05839,299.85301,281592
2010-08-03,299.854,303.02426,299.47326,301.36147,200530
2010-08-04,301.13694,301.13694,298.34233,299.09763,81216
2010-08-05,298.33874,301.29156,296.83136,300.22695,323582
2010-08-06,300.52998,300.60769,297.58505,298.33874,80637
2010-08-09,297.21211,298.33874,287.24288,288.52494,184736
2010-08-10,290.0341,290.0341,286.63521,288.14589,232161
2010-08-11,288.14589,288.90111,283.99169,284.747,146033
2010-08-12,284.59597,291.5447,284.59597,289.27871,173593
2010-08-13,293.96414,296.83136,291.01921,292.97733,117112
2010-08-16,293.80872,296.83136,291.69519,294.64012,78065
2010-08-17,294.5625,294.5625,288.60264,290.78608,82137
2010-08-18,292.82962,292.82962,288.29961,291.85061,116048
2010-08-19,291.69519,294.5625,290.03239,290.71618,153014
2010-08-20,290.94151,295.09086,290.03239,294.41479,169792
2010-08-23,297.60065,305.06009,296.97898,303.4283,159365
2010-08-24,302.49581,302.72902,294.49251,299.69859,122393
2010-08-25,298.06681,301.09724,293.56009,294.88105,90330
2010-08-26,291.22903,297.28982,286.41149,288.27631,189167
2010-08-27,286.72223,290.29662,286.72223,290.29662,143790
2010-08-30,292.16144,294.88105,291.53986,291.53986,145110
2010-08-31,289.05338,293.40468,287.49931,293.40468,236860
2010-09-01,295.11416,295.26959,291.38445,291.38445,153316
2010-09-02,293.6378,294.80333,291.07362,291.07362,110698
2010-09-03,291.85061,296.66815,291.38445,296.66815,86517
2010-09-06,297.1344,300.32016,297.1344,300.32016,124517
2010-09-07,297.60065,298.9993,295.34721,297.60065,69216
2010-09-08,297.91139,307.39114,297.60065,306.9249,345765
2010-09-09,303.81684,310.65462,303.11747,310.26617,276490
2010-09-10,307.0026,310.73233,306.45874,307.70198,208235
2010-09-13,310.65462,310.81004,307.39114,308.55668,251454
2010-09-14,308.47897,311.58703,306.22553,311.27628,261295
2010-09-15,310.88774,312.36411,308.32356,312.36411,159071
2010-09-16,309.72221,312.2087,309.25596,309.25596,104609
2010-09-17,310.26617,312.75265,306.14791,312.75265,343147
2010-09-20,309.25596,316.17144,309.25596,315.39454,124633
2010-09-21,315.39454,324.40797,313.99588,319.3573,323322
2010-09-22,317.80323,321.22221,317.10394,319.3573,142533
2010-09-23,318.73572,319.43501,311.04316,311.58703,260942
2010-09-24,311.58703,312.2087,306.45874,306.9249,465163
2010-09-27,310.03304,311.4317,308.86742,309.25596,89837
2010-09-28,309.25596,310.73233,306.38095,310.11066,108351
2010-09-29,309.25596,311.58703,306.9249,309.25596,163790
2010-09-30,308.86742,318.58031,307.8573,318.58031,337563
2010-10-01,313.99588,318.42489,310.81004,310.81004,138210
2010-10-04,311.58703,315.08362,310.18846,315.08362,123379
2010-10-05,313.91818,314.61747,310.11066,312.98568,214940
2010-10-06,313.84039,315.47216,310.96545,312.90807,116634
2010-10-07,311.50941,314.61747,306.9249,306.9249,116165
2010-10-08,307.8573,310.65462,303.11747,304.98229,160898
2010-10-11,306.53645,308.16814,304.59383,306.76949,125182
2010-10-12,305.44863,306.76949,303.89446,304.59383,155567
2010-10-13,305.75937,308.7898,304.82696,307.70198,476537
2010-10-14,308.47897,309.25596,299.46546,299.54317,567937
2010-10-15,299.854,301.48579,296.90128,298.37763,204960
2010-10-18,298.76609,299.93171,297.60065,299.93171,140837
2010-10-19,299.93171,304.98229,299.54317,302.34049,251922
2010-10-20,300.24254,303.81684,298.37763,299.54317,384928
2010-10-21,302.26277,302.26277,293.71551,297.60065,209116
2010-10-22,297.44523,297.44523,291.9284,296.04658,174140
2010-10-25,297.60065,297.60065,290.68516,291.38445,127045
2010-10-26,291.38445,292.54998,286.79994,287.49931,223536
2010-10-27,289.05338,295.19178,289.05338,292.93843,308016
2010-10-28,295.96886,300.32016,293.71551,296.82356,182890
2010-10-29,297.20933,297.83135,290.61069,293.79654,197076
2010-11-02,295.26959,296.51282,294.49251,295.65803,146562
2010-11-03,295.65803,296.04658,291.38445,291.38445,156570
2010-11-04,293.71551,295.65803,291.38445,292.16144,269324
2010-11-05,293.56009,297.44523,292.16144,296.43502,196065
2010-11-08,296.82356,300.39786,293.87093,297.52285,237056
2010-11-09,295.5027,301.48579,294.02635,299.23243,320343
