Date,Open,High,Low,Close,Volume
2010-05-12,41522,41971.3,41440.2,41896.6,58682559
2010-05-13,42283.1,42390.1,41741.5,41914.8,83412680
2010-05-14,41781.8,41855.6,41075.4,41075.4,57561466
2010-05-17,40754.3,41282.6,40735.9,41282.6,49351859
2010-05-18,41572,41740.8,41425.2,41562.6,208232558
2010-05-19,41161.5,41161.5,40189.6,40441.7,103051115
2010-05-20,40596.8,40667.4,39302.9,39302.9,97716695
2010-05-21,39366.5,39683.3,38900.2,39580.6,71673716
2010-05-24,39939.8,40026.6,39524.1,39920.6,44983809
2010-05-25,39161.4,39286.8,38924.7,39109.4,56691945
2010-05-26,39564.7,40550.3,39564.5,40550.3,142769057
2010-05-27,40583.4,40958.6,40422.1,40956.2,110499332
2010-05-28,41195,41409.2,40995.6,41409.2,145353120
2010-05-31,41286,41530.1,41241,41530.1,55554964
2010-06-01,41336,41336,40781.4,40931.5,39395225
2010-06-02,40900.1,41093.4,40698.6,41093.4,78219885
2010-06-04,41332,41376.1,40198.9,40451.2,124023979
2010-06-07,39988,40061.9,39739.3,40026.8,67220589
2010-06-08,40276.4,40278.4,39704.6,39975.1,61813784
2010-06-09,40184.4,40344.4,39872.6,40192.4,56569198
2010-06-10,40151.9,40705.4,39956,40666.6,43877337
2010-06-11,40831.2,40869.8,40359.9,40635.6,85756713
2010-06-14,40815.7,41112.3,40746,40979.4,90242298
2010-06-15,40871.6,41160.3,40847.8,41069.7,67804735
2010-06-16,41421.6,41425.1,40933.1,41093.4,81107665
2010-06-17,41077.7,41124.1,40738.8,40738.8,69064113
2010-06-18,40819.5,40947,40437,40761.7,155620692
2010-06-21,41155.4,41256.9,41097.2,41212.7,52599363
2010-06-22,41075.1,41266.7,40839.9,40994.6,65745391
2010-06-23,40758.9,40871.6,40266.3,40347.9,87258547
2010-06-24,40472,40506.2,39984.5,40238.2,82475171
2010-06-25,40315.6,40425.1,40139.1,40376.8,78765439
2010-06-28,40426.5,40541,40260.1,40372.9,70177568
2010-06-29,40134.2,40138.6,39452.6,39516.2,67119325
2010-06-30,39561.7,39639.2,39269.6,39392.5,58550069
2010-07-01,39123.2,39621.4,39003.9,39366.8,64957275
2010-07-02,39545.7,39805.4,39395.4,39805.4,62019707
2010-07-05,39860.2,39876.8,39640,39685.7,64823830
2010-07-06,39797.5,40309.3,39794.8,40309.3,54596472
2010-07-07,40116.4,40274.1,39785.2,40274,59504662
2010-07-08,40513.6,40605.7,40321.2,40374,69705202
2010-07-09,40430.6,40455.6,40160.1,40392.1,52909748
2010-07-12,40388.6,40877.4,40335.8,40754.8,74509347
2010-07-13,40845.5,41194.2,40817.4,41036.6,130319093
2010-07-14,41281.3,41450.1,41164.3,41232.9,68875289
2010-07-15,41254.5,41408.9,41174.4,41298.4,47196389
2010-07-16,41244.6,41505.1,41060.8,41060.8,51515153
2010-07-19,40875.7,41071.5,40765.6,41064.2,57345110
2010-07-20,41148.8,41186.4,40716.1,40778.7,57485042
2010-07-21,41103.7,41563.9,41087.9,41563.9,87639072
2010-07-22,41396.8,42158.9,41376.7,42158.9,131369907
2010-07-23,42259.8,42385.1,42103.7,42292.1,77404941
2010-07-26,42534.9,42714,42289.8,42714,78919766
2010-07-27,42799.4,42878.7,42584.7,42610.9,85449821
2010-07-28,42775.8,42830.3,42392.9,42415.8,81218856
2010-07-29,42685.2,42719.1,42518.4,42616.8,67845842
2010-07-30,42561.5,42561.6,42145.7,42464.7,106532768
2010-08-02,42689.3,43398.3,42675.6,43398.3,158102250
2010-08-03,43391.08,43571.97,43281.23,43412.75,71285372
2010-08-04,43336.66,43535.07,43218.1,43535.07,61145474
2010-08-05,43526.58,43645.04,43309.25,43436.84,67876822
2010-08-06,43522.06,43669.05,43177.35,43421.3,111063775
2010-08-09,43452.1,43576.5,43185.33,43185.33,72861427
2010-08-10,43105.82,43110.16,42516.27,42663.65,87650408
2010-08-11,42479,42479,42143.56,42209.56,84365372
2010-08-12,42108.18,42332.46,42019.62,42332.46,55793673
2010-08-13,42608.7,42608.95,42167.93,42167.93,64608781
2010-08-16,42323.38,42533.87,42105.84,42533.87,37318567
2010-08-17,42523.36,42724.47,42470.31,42695.83,63740566
2010-08-18,42756.95,42756.95,42455.06,42592.76,55595771
2010-08-19,42741.6,42852.39,42081.73,42409.85,57804244
2010-08-20,42165.26,42233.77,41994.62,42202.91,40904179
2010-08-23,42275.14,42659.62,42246.47,42614.24,81962708
2010-08-24,42435.21,42435.21,41728.63,41813.44,57318236
2010-08-25,41817.25,41877.51,41438.11,41572.8,49641381
2010-08-26,41706.32,41862.04,41599.21,41717.62,51992437
2010-08-27,41670.39,42083.62,41670.39,42083.62,45924520
2010-08-30,42220.44,42258.44,41905.88,41983.21,58661005
2010-08-31,41541.62,42215.66,41451.23,42215.66,75445106
2010-09-01,42143.27,42469.64,41954.12,42469.64,127535915
2010-09-02,42566.17,42761.9,42514.45,42704.39,103975704
2010-09-03,42790.3,42979.13,42640.75,42944.94,81351413
2010-09-06,42921.81,43156.78,42903.83,43145.31,102635514
2010-09-07,43053.64,43101.49,42838.59,42991.99,110130176
2010-09-08,42957.94,43699.35,42957.92,43699.35,77287013
2010-09-09,43659.37,43801.42,43626.2,43796.03,77032567
2010-09-10,43770.08,43875.18,43576,43671.28,87392078
2010-09-13,44212.66,44286.73,44066.81,44223.72,98528119
2010-09-14,44209.08,44243.76,44037.13,44147.39,77415873
2010-09-15,44163.56,44249.33,44020.43,44249.33,79883585
2010-09-16,44145.52,44247.18,44089.43,44146.83,66413670
2010-09-17,44336.74,44364.5,44043.18,44145.24,139628515
2010-09-20,44187.75,44352.94,44154.27,44352.94,82380055
2010-09-21,44402.97,44885.75,44371.11,44848.46,106483083
2010-09-22,44819.69,44884.38,44597.48,44810.97,78715228
2010-09-23,44837.11,44857.03,44225.12,44522.01,68449601
2010-09-24,44405.23,45133.77,44323.7,45133.77,72696838
2010-09-27,45227.75,45227.75,44976.67,45017.26,79547863
