WFOOD;WCLOTH;WSO;WNDO;WHOUSE;PFOOD;PCLOTH;PSO;PNDO;PHOUSE;LREXP
0,372;0,134;0,248;0,135;0,110;0,265;0,430;0,169;0,189;0,214;1,398
0,371;0,132;0,246;0,140;0,111;0,265;0,439;0,170;0,193;0,215;1,411
0,369;0,132;0,244;0,142;0,114;0,270;0,443;0,176;0,198;0,220;1,408
0,367;0,132;0,242;0,143;0,116;0,280;0,453;0,178;0,203;0,228;1,393
0,362;0,131;0,243;0,147;0,116;0,283;0,463;0,179;0,208;0,230;1,397
0,362;0,131;0,244;0,146;0,117;0,284;0,470;0,181;0,212;0,233;1,405
0,353;0,132;0,250;0,148;0,118;0,286;0,473;0,185;0,216;0,236;1,401
0,348;0,134;0,251;0,147;0,120;0,279;0,475;0,187;0,219;0,237;1,406
0,347;0,131;0,251;0,147;0,123;0,275;0,462;0,188;0,218;0,241;1,407
0,344;0,128;0,253;0,149;0,126;0,272;0,454;0,189;0,218;0,242;1,408
0,342;0,122;0,255;0,151;0,130;0,269;0,444;0,191;0,218;0,243;1,402
0,337;0,124;0,253;0,154;0,132;0,268;0,438;0,192;0,218;0,245;1,405
0,337;0,122;0,256;0,152;0,134;0,266;0,435;0,192;0,217;0,249;1,416
0,333;0,121;0,258;0,152;0,135;0,269;0,434;0,192;0,217;0,250;1,433
0,332;0,124;0,255;0,156;0,133;0,278;0,445;0,194;0,223;0,254;1,443
0,333;0,121;0,258;0,153;0,136;0,283;0,460;0,198;0,227;0,256;1,430
0,341;0,122;0,252;0,153;0,133;0,298;0,479;0,200;0,232;0,260;1,443
0,342;0,119;0,253;0,150;0,137;0,299;0,489;0,203;0,233;0,263;1,435
0,341;0,119;0,250;0,151;0,138;0,298;0,490;0,204;0,233;0,266;1,445
0,339;0,118;0,248;0,156;0,139;0,304;0,489;0,208;0,235;0,271;1,448
0,338;0,116;0,252;0,152;0,141;0,305;0,487;0,210;0,234;0,273;1,447
0,340;0,115;0,252;0,150;0,142;0,305;0,478;0,213;0,235;0,276;1,462
0,339;0,115;0,254;0,150;0,142;0,307;0,472;0,217;0,238;0,277;1,473
0,333;0,118;0,255;0,150;0,143;0,305;0,487;0,218;0,238;0,281;1,480
0,332;0,114;0,258;0,151;0,146;0,301;0,489;0,222;0,240;0,286;1,487
0,327;0,113;0,261;0,151;0,147;0,299;0,480;0,224;0,243;0,288;1,492
0,324;0,110;0,264;0,151;0,151;0,300;0,478;0,227;0,245;0,294;1,488
