WIG;DAX;CAC40;FTSE
13752;3155.97;3121.01;4413.4
13739.79;3015.42;2992.23;4391.8
13729.54;3090.01;3075.13;4407.4
13690.12;3102.01;3056.88;4392.4
14042.34;3198.96;3120.85;4432.6
14078.88;3022.01;2965.11;4366.5
14042.52;3113.59;3084.22;4388
14093.23;3152.85;3150.04;4417.7
NA;3165.16;3109.51;4413.7
14195.88;3327.94;3218.67;4510.8
14039.04;3351.32;3247.39;4481
13839.16;3298.84;3212.86;4516.7
13765.82;3155.66;3111.72;4516.6
13792.99;3079.1;3058.18;4490.7
NA;3042.06;3053.7;4445.7
13834.89;3115.88;3064.64;4462.6
13824.61;3066.42;3034.81;4428.5
13945.96;3188.39;3148.6;4426.1
13841.69;3191.76;3162.39;4449.3
13920.09;3218.36;3208.47;4503.9
13990.84;3206.93;3177.23;4464.8
14045.2;3212.99;3153.5;4444.4
14454.26;3304.63;3290.8;4506
14516.03;3320.88;3305.78;4525.6
14881.26;3299.24;3295.68;4497
14739.48;3191.63;3215.19;4453.2
14850.58;3346.14;3313.76;4489.6
14834.07;3360.76;3329.99;4573.5
14662.91;3320.32;3326.65;4558.2
15026.12;3380.2;3298.76;4574
15028.7;3280.49;3222.26;4522.7
14838.08;3320.75;3199.84;4479.9
14909.65;3224.74;3158.04;4469.3
14724.22;3207.53;3185.77;4445.8
14726.38;3065.57;3115.63;4419.3
14507;3167.99;3142.75;4396.4
14408.77;3196.05;3190.09;4399.6
14531.49;3111.88;3137.43;4326.7
14534.66;3077.06;3076.85;4296.5
14564.42;3205.29;3173.85;4321.4
14523.89;3139.97;3138.61;4280
14164.05;3022.69;3077.39;4251.8
14135.77;2961.41;3054.21;4260.7
14116.67;3024.22;3082.85;4270.5
14294.29;3000.84;3087.62;4288.1
NA;NA;3081.28;4293.4
NA;NA;NA;NA
14402.55;2840;3011.83;4277.5
14390.28;2892.63;3025.14;4302.2
14366.65;NA;3063.91;4319.3
14378.11;3105.04;3195.02;4343.4
14770.53;3092.94;3187.88;4377.1
14814.32;3157.25;3210.27;4358.2
14875.42;3112.77;3160.99;4353.1
14738.01;2993;3094.09;4329.3
14735.78;3037.68;3152.29;4343.9
14785.91;3037.33;3160.13;4380.3
15115.13;3060.65;3169.82;4383.8
15039.44;3098.72;3174.03;4376.4
15061.77;3049.4;3134.66;4339.9
14827.53;3054.11;3142.59;4349.5
14637.51;2918.82;3056.93;4321.7
14594.74;2893.55;3020.07;4312.5
14461.75;2870.57;2992.39;4308.4
14301.16;2803.25;2931.38;4269.9
14453.54;2811.22;2917.97;4246.7
14133.8;2717.82;2898.6;NA
13867.32;2643.8;2795.78;4100.1
13886.61;2671.36;2800.07;4055.8
13923.86;2706.57;2840.05;3986
13783.66;2693.78;2914.13;4021.6
13844.75;2747.83;2937.88;4016.4
14125.43;2751.99;2957.79;4071.8
13871.99;2632.98;2863.5;NA
13877.99;2725.88;2884.62;4071.6
13694.82;2649;2836.18;4057.4
13797.26;2569.34;2796.66;4062
13871.4;2586.09;2772.26;4067.9
13918.78;2627;2841.84;4089
13806.1;2571.25;2770.62;4042.7
13865.86;2555.27;2758.65;4026.9
13873.18;2674.46;2827.75;4023.9
14038.18;2708.97;2882.12;4063.9
13953.5;2740.14;2938.63;4075.3
13844.75;2624.65;2859.19;4078.3
13981.37;2591.26;2804.49;4071.7
13922.09;2648.87;2806.77;4066.5
13814.98;2571.35;2785.61;4088.1
13622.95;2485.5;2683.37;4020
13659.97;2450.2;2658.57;4000.4
13727.11;2513.22;2715.8;3998.3
13775.47;2547.05;2754.07;4037.6
13687.16;2549.65;2762.25;4075
13504.92;2501.03;2676.34;4052.5
13502.65;2498.02;2655.07;3999.9
13512.9;2437.51;2634.53;3987
13599.63;2431.66;2574.91;3924.4
13964.47;2329.04;2513.61;3898.3
13852.81;2305.3;2493.42;3846.9
13820.51;2202.96;2403.04;3802
13943.35;2354.31;2554.71;3820
13866.61;2403.19;2740.01;3890.3
13604.78;2487.12;2831.73;3932.2
13828.66;2584.61;2794.89;4017.7
13816.95;2615.22;2837.68;4034.3
13820.75;2604.85;2794.83;4051.8
14069.39;2715.06;2890.68;4095.6
14032.74;2548.37;2726.85;4034.8
14011.12;2636.1;2795.79;4023.6
14041.94;2579.33;2787.56;4041.3
13977.69;2584.05;2722.84;4017.1
13978.28;2520.84;2733;4016.3
13759.43;2423.87;2618.46;3959.8
13765.02;2450.19;2635.04;3967.3
13910.34;2589.35;2743.88;4024.3
14149.59;2569.81;2788.69;4040.7
14175.37;2654.07;2837.96;4060.8
14495.96;2808.94;2935.68;4161.9
14451.56;2767.79;2893.51;4135
14503.33;2734.1;2888.03;4123.5
14382.83;2697.1;2808.58;4130
14368.1;2733.95;2838.14;4154.1
14175.02;2776.78;2874.98;4176.3
14193.13;2834.12;2921.52;4224.3
14121.97;2824.68;2895.16;4259
14211.61;2899.78;2898.61;4260.5
NA;NA;NA;NA
14236.89;2960.96;2914.6;4282.7
14341.97;2974.4;2962.67;4358.3
14196.17;2891.62;2903.04;4336.7
14231.82;2838.23;2866.74;4298.2
14287.79;2953.92;2949.57;4321.8
14262.09;2908.96;2940.8;4356.1
14259.75;2942.04;2953.67;4389.3
NA;NA;NA;4374.9
14421.63;2986;2963.12;4416.9
14608.92;3013.04;2996.22;NA
14652.61;3066.95;3057.56;4507.3
14503.65;3005.64;3023.96;4559.6
14547.51;2886.08;2939.17;4514.8
14675.9;2956.59;2967.89;4523.9
14722.16;2937.26;2962.63;4564.8
14690.91;2909.95;2963.63;4609.9
15012.24;2926.03;2961.83;4613.8
14945.41;2989.38;2995.98;4672.5
14892.82;2989.08;2994.87;4749.9
14801.21;2850.68;2867.29;4672.7
14758.79;2838.93;2877.26;4684.4
14891.71;2827.25;2881.2;4635.2
14958.73;2865.21;2903.27;4679.8
15040.45;2822.83;2897.16;4678.9
15099.64;2828.28;2885.52;NA
14937.2;2873.6;2896.29;4677.2
15068.72;2919.54;2949.61;4746.1
15153.67;2906.71;2969.18;4785.1
15304.37;2982.68;2991.75;4815.6
15250.08;3064.56;3048.32;4879.9
15320.65;3026.82;3039.41;4843.2
15472.31;3080.02;3063.85;4866.9
15460.01;3039.76;3034.07;4919.6
15598.45;3127.46;3093.21;5050.6
15477.49;3094.76;3055.23;5019.6
15384.13;3140.34;3083.85;4982.6
15437.84;3178.15;3121.9;4997.6
15582.97;3219.47;3152.16;5045.2
15560.74;3168.71;3108.94;5038.2
15573.27;3264.5;3174.49;5035.1
15707.64;3286.48;3200.75;5089.9
15858.46;3304.15;3213.93;5084.9
NA;3247.11;3164.91;5048.8
15910.38;3238.98;3190.11;5043.3
15843.78;3186.39;3119.24;5004.2
15730.15;3217.34;3103.34;4932.6
15937.8;3198.82;3108.7;4947.8
15982.37;3241.22;3103.46;4928.1
15930.57;3224.66;3109.02;4958.7
15987.5;3220.58;3084.1;4963.4
15751.78;3146.55;3013;4925.4
15921.83;3241.04;3079.07;4965.6
16053.61;3241.92;3092.09;4987.4
16338.22;3239.61;3072.4;4987.2
16829.47;3332.87;3182.19;5051.6
16711.03;3344.46;3177.97;5128.9
16893.01;3322.43;3139.93;5141.8
17027.04;3269.84;3098.28;5140.9
17108.8;3326.51;3138.27;5116.2
17489.4;3396.07;3190.23;5181.6
17471.05;3384.69;3179.33;5207.7
17382.86;3387.64;3150.72;5199.5
17435.78;3330.68;3129.37;5161.4
17695.59;3366.71;3129.21;5175.7
17805.82;3287;3081.06;5167.4
17615.45;3318.15;3092.62;5164.3
17318.57;3304.48;3089.41;5189.4
17390.39;3374.82;3156.86;5224.7
17458.47;3356.89;3109.32;5230.3
17961.51;3417.77;3164.93;5256.3
18048.18;3428.12;3142.39;5273
17894.13;3429.03;3172.51;5293
18004.31;3487.86;3210.27;5325.6
17978.89;3438.89;3169.63;5345.1
17822.73;3405.31;3142;5342
17932.76;3438.36;3187.61;5355.1
17877.71;3375.66;3126.15;5296
18417.7;3331.89;3130.56;5292.3
18372.55;3332.24;3165.49;5320.8
18600.68;3339.58;3188.32;5345.5
18999.96;3381.71;3208.23;5365.3
18958.84;3398.89;3208.06;5415.4
19388.03;3452.7;3261.7;5450.1
NA;3443.93;3279.21;5513.5
19613.34;3507.23;3301.08;5533.4
19602.26;3504.53;3310.7;5577.1
19554.47;3501.23;3280.34;5536.8
20024.02;3565.47;3306.42;5574.6
20615.62;3549.05;3328.99;5597.8
20622.01;3500.09;3291.36;NA
21059.4;3455.48;3256.69;5562.9
20996.25;3483.08;3280.02;5575.2
20858.78;3492.67;3322.95;5569.6
21336.29;3484.58;3311.42;5593.2
22033.81;3571.22;3358.52;5645.8
21921.79;3567.2;3365.45;5675.7
21659.87;3647.51;3422.78;5778.9
21189.13;3668.67;3410.69;5707.7
20713.37;3607.71;3392.75;5713
20744.88;3641.53;3409.72;5739
20426.4;3593.73;3375.26;5710.2
19983.97;3536.87;3328.71;5641.4
20156.2;3566.85;3348.25;5610.3
19881.39;3508.06;3322.56;5625.3
19824.11;3516.31;3338.36;5645.9
20279.94;3564.75;3386.41;5667.5
20223.61;3561.03;3393.93;5689.8
20200.89;3612.02;3415.01;5709.5
20261.1;3578.7;3373.64;5718.3
19704.26;3456.27;3282.95;5664.8
19783.39;3411.02;3266.04;5621.7
19824.82;3307.34;3263.78;5633
19805.49;3326.27;3230.54;5561.4
20002.37;3324.85;3216.76;5497.7
19771.96;3323.38;3188.71;5502.3
19330.49;3256.78;3134.99;5457.8
19338.26;3329.83;3191.01;5476.9
19675.02;3276.64;3192.94;5529.1
19938.26;3419;3296.36;5592.5
20649.68;3404.91;3281.36;5628.5
20566.33;3355.78;3254.75;5638.7
20920.37;3395.33;3248.61;5679.4
21161.76;3481.9;3324.99;5728.3
21181.21;3471.25;3306.12;5755.5
21107.56;3538.39;3360.34;5786.8
21512.68;3538.13;3344.9;5791.5
