mpg;cylindry;moc;przysp;rok;waga;producent;marka;model;cena;legenda
43,1;4;48;21,5;78;1985;2;Volkswagen;Rabbit Dl ;2400;America=1
36,1;4;66;14,4;78;1800;1;Ford      ;Fiesta    ;1900;Europe=2
32,8;4;52;19,4;78;1985;3;Mazda     ;GLC Deluxe;2200;Japan =3
39,4;4;70;18,6;78;2070;3;Datsun    ;B210 GX   ;2725;       
36,1;4;60;16,4;78;1800;3;Honda     ;Civic CVCC;2250;       
19,9;8;110;15,5;78;3365;1;Oldsmobile;Cutlass   ;3300;       
19,4;8;140;13,2;78;3735;1;Dodge     ;Diplomat  ;3125;       
20,2;8;139;12,8;78;3570;1;Mercury   ;Monarch   ;2850;       
19,2;6;105;19,2;78;3535;1;Pontiac   ;Phoenix   ;2800;       
20,5;6;95;18,2;78;3155;1;Chevrolet ;Malibu    ;3275;       
20,2;6;85;15,8;78;2965;1;Ford      ;Fairmont A;2375;       
25,1;4;88;15,4;78;2720;1;Ford      ;Fairmont M;2275;       
20,5;6;100;17,2;78;3430;1;Plymouth  ;Volare    ;2700;       
19,4;6;90;17,2;78;3210;1;AMC       ;Concord   ;2300;       
20,6;6;105;15,8;78;3380;1;Buick     ;Century   ;3300;       
20,8;6;85;16,7;78;3070;1;Mercury   ;Zephyr    ;2425;       
18,6;6;110;18,7;78;3620;1;Dodge     ;Aspen     ;2700;       
18,1;6;120;15,1;78;3410;1;AMC       ;Concord D1;2425;       
19,2;8;145;13,2;78;3425;1;Chevrolet ;MonteCarlo;3900;       
17,7;6;165;13,4;78;3445;1;Buick     ;RegalTurbo;4400;       
18,1;8;139;11,2;78;3205;1;Ford      ;Futura    ;2525;       
17,5;8;140;13,7;78;4080;1;Dodge     ;Magnum XE ;3000;       
30;4;68;16,5;78;2155;1;Chevrolet ;Chevette  ;2100;       
27,5;4;95;14,2;78;2560;3;Toyota    ;Corona    ;2975;       
27,2;4;97;14,7;78;2300;3;Datsun    ;510;2775;       
30,9;4;75;14,5;78;2230;1;Dodge     ;Omni      ;2250;       
21,1;4;95;14,8;78;2515;3;Toyota    ;Celica GT ;3700;       
23,2;4;105;16,7;78;2745;1;Plymouth  ;Sapporo   ;3200;       
23,8;4;85;17,6;78;2855;1;Oldsmobile;Starfire  ;2400;       
23,9;4;97;14,9;78;2405;3;Datsun    ;200-SX    ;2975;       
20,3;5;103;15,9;78;2830;2;Audi      ;5000;4475;       
17;6;125;13,6;78;3140;2;Volvo     ;264GL     ;5875;       
21,6;4;115;15,7;78;2795;2;Saab      ;99GLE     ;4200;       
16,2;6;133;15,8;78;3410;2;Peugeot   ;604SL     ;5450;       
31,5;4;71;14,9;78;1990;2;Volkswagen;Scirocco  ;3675;       
29,5;4;68;16,6;78;2135;3;Honda     ;Accord LX ;3425;       
21,5;6;115;15,4;79;3245;1;Pontiac   ;Lemans V6 ;3925;       
19,8;6;85;18,2;79;2990;1;Mercury   ;Zephyr 6  ;3200;       
22,3;4;88;17,3;79;2890;1;Ford      ;Fairmont 4;2975;       
20,2;6;90;18,2;79;3265;1;AMC       ;ConcordDL6;3150;       
20,6;6;110;16,6;79;3360;1;Dodge     ;Aspen 6   ;3325;       
17;8;130;15,4;79;3840;1;Chevrolet ;Caprice Cl;4650;       
17,6;8;129;13,4;79;3725;1;Ford      ;LTD Landau;4850;       
16,5;8;138;13,2;79;3955;1;Mercury   ;GrandMarqs;5725;       
