   x1      x2         x3           x4  Outcome
 .4485   -.4106      1.0865      .4526  Bankrupt
 .5633   -.3114      1.5134      .1642  Bankrupt
 .0643    .0156      1.0077      .3978  Bankrupt
 .0721   -.0930      1.4544      .2589  Bankrupt
 .1002   -.0917      1.5644      .6683  Bankrupt
 .1421   -.0651      .7066       .2794  Bankrupt
 .0351    .0147      1.5046      .7080  Bankrupt
 .0653   -.0566      1.3737      .4032  Bankrupt
 .0724   -.0076      1.3723      .3361  Bankrupt
 .1353   -.1433      1.4196      .4347  Bankrupt
 .2298   -.2961      .3310       .1824  Bankrupt
 .0713    .0205      1.3124      .2497  Bankrupt
 .0109    .0011      2.1495      .6969  Bankrupt
 .2777   -.2316      1.1918      .6601  Bankrupt
 .1454    .0500      1.8762      .2723  Bankrupt
 .3703    .1098      1.9941      .3828  Bankrupt
 .0757   -.0821      1.5077      .4215  Bankrupt
 .0451    .0263      1.6756      .9494  Bankrupt
 .0115   -.0032      1.2602      .6038  Bankrupt
 .1227    .1055      1.1434      .1655  Bankrupt
 .2843   -.2703      1.2722      .5128  Bankrupt
 .5135    .1001      2.4871      .5368  Sound
 .0769    .0195      2.0069      .5304  Sound
 .3776    .1075      3.2651      .3548  Sound
 .1933    .0473      2.2506      .3309  Sound
 .3248    .0718      4.2401      .6279  Sound
 .3132    .0511      4.4500      .6852  Sound
 .1184    .0499      2.5210      .6925  Sound
 .0173    .0233      2.0538      .3484  Sound
 .2169    .0779      2.3489      .3970  Sound
 .1703    .0695      1.7973      .5174  Sound
 .1460    .0518      2.1692      .5500  Sound
 .0985   -.0123      2.5029      .5778  Sound
 .1398   -.0312      .4611       .2643  Sound
 .1379    .0728      2.6123      .5151  Sound
 .1486    .0564      2.2347      .5563  Sound
 .1633    .0486      2.3080      .1978  Sound
 .2907    .0597      1.8381      .3786  Sound
 .5383    .1064      2.3293      .4835  Sound
 .3330   -.0854      3.0124      .4730  Sound
 .4785    .0910      1.2444      .1847  Sound
 .5603    .1112      4.2918      .4443  Sound
 .2029    .0792      1.9936      .3018  Sound
 .4746    .1380      2.9166      .4487  Sound
 .1661    .0351      2.4527      .1370  Sound
 .5808    .0371      5.0594      .1268  Sound
