obs exp affpct
9 1.4 16
39 8.7 16
11 3 10
9 2.5 24
15 4.3 10
8 2.4 24
26 8.1 10
7 2.3 7
6 2 7
20 6.6 16
13 4.4 7
5 1.8 16
3 1.1 10
8 3.3 24
17 7.8 7
9 4.6 16
2 1.1 10
7 4.2 7
9 5.5 7
7 4.4 10
16 10.5 7
31 22.7 16
11 8.8 10
7 5.6 7
19 15.5 1
15 12.5 1
7 6 7
10 9 7
16 14.4 10
11 10.2 10
5 4.8 7
3 2.9 24
7 7 10
8 8.5 7
11 12.3 7
9 10.1 0
11 12.7 10
8 9.4 1
6 7.2 16
4 5.3 0
10 18.8 1
8 15.8 16
2 4.3 16
6 14.6 0
19 50.7 1
3 8.2 7
2 5.6 1
3 9.3 1
28 88.7 0
6 19.6 1
1 3.4 1
1 3.6 0
1 5.7 1
1 7 1
0 4.2 16
0 1.8 10
