Poland, Life tables (period 5x1), Males     Last modified: 08-Jul-2011, MPv5 (May07)

  Year          Age         mx       qx    ax      lx      dx      Lx       Tx     ex
  1958           0      0.08371  0.07889  0.27  100000    7889   94239  6302803  63.03
  1958         1-4      0.00240  0.00956  1.35   92111     880  366111  6208564  67.40
  1958         5-9      0.00079  0.00393  2.32   91231     359  455192  5842453  64.04
  1958        10-14     0.00067  0.00334  2.63   90872     303  453643  5387261  59.28
  1958        15-19     0.00125  0.00622  2.85   90569     564  451635  4933618  54.47
  1958        20-24     0.00202  0.01005  2.48   90005     905  447745  4481983  49.80
  1958        25-29     0.00216  0.01077  2.56   89100     959  443158  4034238  45.28
  1958        30-34     0.00261  0.01298  2.57   88141    1144  437922  3591080  40.74
  1958        35-39     0.00299  0.01485  2.60   86997    1292  431884  3153158  36.24
  1958        40-44     0.00416  0.02059  2.66   85705    1765  424398  2721274  31.75
  1958        45-49     0.00623  0.03073  2.71   83940    2580  413807  2296876  27.36
  1958        50-54     0.00997  0.04875  2.69   81361    3966  397643  1883069  23.14
  1958        55-59     0.01627  0.07840  2.69   77394    6068  372937  1485426  19.19
  1958        60-64     0.02653  0.12470  2.60   71327    8894  335315  1112489  15.60
  1958        65-69     0.04029  0.18375  2.61   62432   11472  284745   777174  12.45
  1958        70-74     0.06294  0.27278  2.56   50960   13901  220846   492429   9.66
  1958        75-79     0.09763  0.39258  2.51   37059   14549  149019   271584   7.33
  1958        80-84     0.14979  0.53708  2.37   22511   12090   80713   122564   5.44
  1958        85-89     0.22415  0.68983  2.21   10421    7188   32070    41852   4.02
  1958        90-94     0.31253  0.81259  2.05    3232    2626    8404     9782   3.03
  1958        95-99     0.42942  0.89866  1.76     606     544    1268     1378   2.28
  1958       100-104    0.54946  0.94799  1.55      61      58     106      111   1.80
  1958       105-109    0.66483  0.97267  1.36       3       3       5        5   1.50
  1958       110+       0.75162  1.00000  1.33       0       0       0        0   1.33
  1959           0      0.08257  0.07786  0.27  100000    7786   94290  6262253  62.62
  1959         1-4      0.00243  0.00964  1.33   92214     889  366487  6167963  66.89
  1959         5-9      0.00078  0.00387  2.34   91325     353  455685  5801476  63.53
  1959        10-14     0.00070  0.00351  2.57   90972     320  454082  5345791  58.76
  1959        15-19     0.00131  0.00655  2.85   90652     594  451986  4891709  53.96
  1959        20-24     0.00203  0.01011  2.53   90059     910  448045  4439724  49.30
  1959        25-29     0.00220  0.01092  2.53   89148     974  443334  3991678  44.78
  1959        30-34     0.00254  0.01263  2.54   88174    1113  438128  3548344  40.24
  1959        35-39     0.00320  0.01588  2.63   87061    1383  432024  3110216  35.72
  1959        40-44     0.00424  0.02097  2.66   85679    1797  424181  2678192  31.26
  1959        45-49     0.00615  0.03031  2.62   83882    2543  413353  2254011  26.87
  1959        50-54     0.01020  0.04980  2.65   81339    4050  397178  1840658  22.63
  1959        55-59     0.01697  0.08164  2.68   77289    6310  371796  1443479  18.68
  1959        60-64     0.02755  0.12918  2.59   70979    9169  332828  1071683  15.10
  1959        65-69     0.04342  0.19667  2.61   61810   12156  279945   738855  11.95
  1959        70-74     0.06649  0.28551  2.53   49653   14177  213210   458910   9.24
