Poland, Life tables (period 1x1), Males     Last modified: 08-Jul-2011, MPv5 (May07)

  Year          Age         mx       qx    ax      lx      dx      Lx       Tx     ex
  1958           0     0.08371  0.07889  0.27  100000    7889   94239  6302803  63.03
  1958           1     0.00503  0.00502  0.50   92111     462   91880  6208564  67.40
  1958           2     0.00203  0.00203  0.50   91649     186   91556  6116684  66.74
  1958           3     0.00146  0.00146  0.50   91463     134   91396  6025129  65.88
  1958           4     0.00107  0.00107  0.50   91329      98   91280  5933733  64.97
  1958           5     0.00094  0.00094  0.50   91231      86   91188  5842453  64.04
  1958           6     0.00085  0.00085  0.50   91145      77   91106  5751265  63.10
  1958           7     0.00079  0.00079  0.50   91067      72   91032  5660159  62.15
  1958           8     0.00069  0.00069  0.50   90996      63   90964  5569128  61.20
  1958           9     0.00067  0.00067  0.50   90933      61   90902  5478163  60.24
  1958          10     0.00064  0.00064  0.50   90872      58   90843  5387261  59.28
  1958          11     0.00062  0.00061  0.50   90814      56   90786  5296418  58.32
  1958          12     0.00057  0.00057  0.50   90758      52   90732  5205632  57.36
  1958          13     0.00067  0.00067  0.50   90706      60   90675  5114901  56.39
  1958          14     0.00084  0.00084  0.50   90645      76   90607  5024225  55.43
  1958          15     0.00086  0.00086  0.50   90569      78   90530  4933618  54.47
  1958          16     0.00101  0.00101  0.50   90491      91   90446  4843088  53.52
  1958          17     0.00117  0.00117  0.50   90400     106   90347  4752642  52.57
  1958          18     0.00146  0.00146  0.50   90294     132   90228  4662295  51.63
  1958          19     0.00175  0.00175  0.50   90163     157   90084  4572067  50.71
  1958          20     0.00209  0.00209  0.50   90005     188   89911  4481983  49.80
  1958          21     0.00207  0.00207  0.50   89817     186   89724  4392072  48.90
  1958          22     0.00198  0.00198  0.50   89631     177   89543  4302348  48.00
  1958          23     0.00184  0.00184  0.50   89454     165   89372  4212805  47.09
  1958          24     0.00212  0.00212  0.50   89290     189   89195  4123433  46.18
  1958          25     0.00211  0.00211  0.50   89100     188   89006  4034238  45.28
  1958          26     0.00210  0.00210  0.50   88912     186   88819  3945231  44.37
  1958          27     0.00206  0.00205  0.50   88726     182   88635  3856412  43.46
  1958          28     0.00213  0.00213  0.50   88544     189   88449  3767777  42.55
  1958          29     0.00242  0.00242  0.50   88355     214   88248  3679328  41.64
  1958          30     0.00246  0.00245  0.50   88141     216   88033  3591080  40.74
  1958          31     0.00255  0.00255  0.50   87925     224   87813  3503047  39.84
  1958          32     0.00249  0.00248  0.50   87701     218   87592  3415234  38.94
  1958          33     0.00274  0.00274  0.50   87483     239   87363  3327642  38.04
  1958          34     0.00283  0.00282  0.50   87244     246   87120  3240279  37.14
  1958          35     0.00275  0.00274  0.50   86997     239   86878  3153158  36.24
  1958          36     0.00275  0.00275  0.50   86759     239   86639  3066280  35.34
  1958          37     0.00286  0.00286  0.50   86520     247   86396  2979641  34.44
  1958          38     0.00338  0.00337  0.50   86273     291   86127  2893245  33.54
  1958          39     0.00322  0.00322  0.50   85982     277   85844  2807118  32.65
  1958          40     0.00358  0.00358  0.50   85705     307   85552  2721274  31.75
  1958          41     0.00358  0.00357  0.50   85399     305   85246  2635722  30.86
  1958          42     0.00422  0.00421  0.50   85094     358   84915  2550476  29.97
  1958          43     0.00460  0.00459  0.50   84736     389   84541  2465561  29.10
  1958          44     0.00483  0.00482  0.50   84347     407   84144  2381019  28.23
  1958          45     0.00482  0.00481  0.50   83940     403   83739  2296876  27.36
  1958          46     0.00573  0.00571  0.50   83537     477   83298  2213137  26.49
  1958          47     0.00607  0.00605  0.50   83060     503   82808  2129839  25.64
  1958          48     0.00674  0.00671  0.50   82557     554   82280  2047031  24.80
  1958          49     0.00786  0.00783  0.50   82003     642   81682  1964751  23.96
  1958          50     0.00787  0.00783  0.50   81361     637   81042  1883069  23.14
  1958          51     0.00901  0.00897  0.50   80723     724   80361  1802027  22.32
  1958          52     0.00999  0.00994  0.50   79999     796   79602  1721666  21.52
  1958          53     0.01098  0.01092  0.50   79204     865   78771  1642064  20.73
  1958          54     0.01213  0.01206  0.50   78339     945   77867  1563293  19.96
  1958          55     0.01260  0.01252  0.50   77394     969   76910  1485426  19.19
  1958          56     0.01500  0.01489  0.50   76425    1138   75856  1408516  18.43
  1958          57     0.01576  0.01564  0.50   75287    1177   74699  1332660  17.70
  1958          58     0.01846  0.01829  0.50   74110    1356   73432  1257961  16.97
  1958          59     0.01982  0.01962  0.50   72754    1428   72040  1184529  16.28
  1958          60     0.02273  0.02247  0.50   71327    1603   70525  1112489  15.60
  1958          61     0.02437  0.02408  0.50   69724    1679   68884  1041964  14.94
  1958          62     0.02675  0.02639  0.50   68045    1796   67147   973079  14.30
  1958          63     0.02803  0.02764  0.50   66249    1831   65333   905933  13.67
  1958          64     0.03130  0.03082  0.50   64418    1985   63425   840599  13.05
  1958          65     0.03286  0.03233  0.50   62432    2018   61423   777174  12.45
  1958          66     0.03604  0.03540  0.50   60414    2139   59345   715751  11.85
  1958          67     0.04164  0.04079  0.50   58276    2377   57087   656406  11.26
  1958          68     0.04458  0.04361  0.50   55898    2437   54679   599319  10.72
  1958          69     0.04789  0.04677  0.50   53461    2500   52210   544640  10.19
  1958          70     0.05121  0.04993  0.50   50960    2545   49688   492429   9.66
  1958          71     0.05872  0.05704  0.50   48416    2762   47035   442741   9.14
  1958          72     0.06510  0.06305  0.50   45654    2878   44215   395706   8.67
  1958          73     0.06730  0.06511  0.50   42776    2785   41383   351492   8.22
  1958          74     0.07609  0.07330  0.50   39991    2931   38525   310109   7.75
  1958          75     0.08014  0.07706  0.50   37059    2856   35631   271584   7.33
  1958          76     0.09353  0.08935  0.50   34204    3056   32675   235952   6.90
  1958          77     0.09111  0.08714  0.50   31147    2714   29790   203277   6.53
  1958          78     0.11073  0.10492  0.50   28433    2983   26942   173486   6.10
  1958          79     0.12257  0.11550  0.50   25450    2939   23980   146545   5.76
  1958          80     0.13060  0.12260  0.50   22511    2760   21131   122564   5.44
  1958          81     0.13436  0.12590  0.50   19751    2487   18508   101434   5.14
  1958          82     0.15607  0.14477  0.50   17264    2499   16015    82926   4.80
  1958          83     0.16876  0.15563  0.50   14765    2298   13616    66911   4.53
  1958          84     0.17883  0.16416  0.50   12467    2047   11444    53295   4.27
  1958          85     0.19810  0.18024  0.50   10421    1878    9481    41852   4.02
  1958          86     0.20589  0.18667  0.50    8542    1595    7745    32370   3.79
  1958          87     0.23993  0.21423  0.50    6948    1488    6203    24625   3.54
  1958          88     0.23892  0.21342  0.50    5459    1165    4877    18422   3.37
  1958          89     0.28220  0.24731  0.50    4294    1062    3763    13545   3.15
